school_id,school_name,province_name,province_area,type_name,type_school_name,is_985,is_211,syl,is_zihuaxian,recruit_number,major_number,school_level,recruit_number_int,rk_rank
252,重庆大学,重庆,A,综合类,高等院校,1,1,1,1,5985,86,985 / 211 / 双一流 / 自划线,5985,34
925,西南大学,重庆,A,综合类,高等院校,2,1,1,2,3302,188,211 / 双一流,3302,81
253,重庆医科大学,重庆,A,医药类,高等院校,2,2,2,2,2374,94,普通院校,2374,105
519,重庆邮电大学,重庆,A,理工类,高等院校,2,2,2,2,3227,50,普通院校,3227,191
255,西南政法大学,重庆,A,政法类,高等院校,2,2,2,2,2397,47,普通院校,2397,199
258,重庆交通大学,重庆,A,理工类,高等院校,2,2,2,2,2353,49,普通院校,2353,242
521,重庆师范大学,重庆,A,师范类,高等院校,2,2,2,2,2458,107,普通院校,2458,276
1013,重庆理工大学,重庆,A,理工类,高等院校,2,2,2,2,2189,50,普通院校,2189,302
1230,重庆科技大学,重庆,A,理工类,高等院校,2,2,2,2,855,31,普通院校,855,382
951,重庆工商大学,重庆,A,财经类,高等院校,2,2,2,2,1876,64,普通院校,1876,390
260,四川外国语大学,重庆,A,语言类,高等院校,2,2,2,2,1137,48,普通院校,1137,401
1496,重庆文理学院,重庆,A,综合类,高等院校,2,2,2,2,390,15,普通院校,390,447
1379,重庆三峡科技大学,重庆,A,综合类,高等院校,2,2,2,2,770,42,普通院校,770,493
871,陆军军医大学,重庆,A,军事类,高等院校,2,2,2,2,949,81,普通院校,949,2000
524,四川美术学院,重庆,A,艺术类,高等院校,2,2,2,2,555,6,普通院校,555,2000
1016,联勤保障部队工程大学,重庆,A,军事类,高等院校,2,2,2,2,190,19,普通院校,190,2000
1015,中共重庆市委党校,重庆,A,政法类,科研院所,2,2,2,2,100,9,普通院校,100,2000
1645,重庆中医药学院,重庆,A,医药类,高等院校,2,2,2,2,240,17,普通院校,240,2000
1643,中国科学院大学重庆学院,重庆,A,综合类,科研院所,2,2,2,2,0,0,普通院校,0,2000
1580,长江师范学院,重庆,A,师范类,高等院校,2,2,2,2,190,16,普通院校,190,2000
1529,中国科学院重庆绿色智能技术研究院,重庆,A,其他,科研院所,2,2,2,2,28,10,普通院校,28,2000
